hours_studied,attendance_pct,previous_score,assignments_completed,score,study_efficiency,assignment_completion_rate,attendance_category_high,attendance_category_low,attendance_category_medium
2.5,85,50,3,48,19.2,0.25,False,False,True
3.0,88,52,4,55,18.333333333333332,0.3333333333333333,False,False,True
3.2,90,58,5,60,18.75,0.4166666666666667,True,False,False
4.5,92,60,6,68,15.11111111111111,0.5,True,False,False
5.0,95,65,7,75,15.0,0.5833333333333334,True,False,False
6.0,96,70,8,82,13.666666666666666,0.6666666666666666,True,False,False
1.5,70,40,2,35,23.333333333333332,0.16666666666666666,False,False,True
2.0,75,45,2,40,20.0,0.16666666666666666,False,False,True
7.0,98,80,9,90,12.857142857142858,0.75,True,False,False
8.5,99,88,10,96,11.294117647058824,0.8333333333333334,True,False,False
9.0,99,92,10,98,10.88888888888889,0.8333333333333334,True,False,False
4.0,89,62,5,66,16.5,0.4166666666666667,False,False,True
6.5,94,75,8,85,13.076923076923077,0.6666666666666666,True,False,False
5.5,91,68,7,78,14.181818181818182,0.5833333333333334,True,False,False
3.5,87,55,4,58,16.571428571428573,0.3333333333333333,False,False,True
4.2,90,59,5,63,15.0,0.4166666666666667,True,False,False
2.8,82,48,3,50,17.857142857142858,0.25,False,False,True
7.5,97,83,9,92,12.266666666666667,0.75,True,False,False
1.0,60,30,1,28,28.0,0.08333333333333333,False,True,False
0.5,50,20,0,15,30.0,0.0,False,True,False
10.0,100,96,12,99,9.9,1.0,True,False,False
8.0,98,90,11,97,12.125,0.9166666666666666,True,False,False
6.8,95,78,9,88,12.941176470588236,0.75,True,False,False
5.2,93,69,7,80,15.384615384615383,0.5833333333333334,True,False,False
3.8,86,57,4,61,16.05263157894737,0.3333333333333333,False,False,True
