hours_studied,attendance_pct,previous_score,assignments_completed,sleep_hours,internet_usage,extracurricular_activity,family_support,score
6.8,85.9,72.6,10,5.0,3.1,high,medium,97.3
3.4,85.6,83.5,10,8.1,1.9,medium,medium,94.3
7.9,82.4,47.9,10,6.9,3.0,medium,medium,91.9
8.4,91.4,65.7,9,6.3,2.6,low,low,100.0
1.1,89.9,82.4,9,6.7,5.1,low,low,74.2
2.7,75.3,71.0,9,8.2,2.9,high,low,81.7
6.3,74.8,92.0,9,7.9,0.9,medium,low,98.5
5.2,91.4,46.4,9,6.8,3.7,low,medium,77.6
6.0,81.5,44.6,4,5.6,5.7,low,medium,67.7
3.9,90.4,81.5,6,5.7,4.8,low,low,88.0
8.2,94.2,83.0,5,7.9,1.3,medium,medium,100.0
7.9,77.8,67.1,11,5.5,2.6,medium,low,95.6
6.2,76.7,76.0,12,6.9,3.0,high,high,98.4
8.8,100.0,81.2,3,10.0,3.0,medium,medium,100.0
7.2,90.8,57.8,12,7.6,3.6,high,medium,95.6
3.9,84.6,59.4,8,7.9,2.5,low,medium,93.9
6.9,80.5,72.8,11,5.7,1.6,low,medium,100.0
3.6,83.9,83.6,9,5.5,4.4,low,medium,90.8
8.2,78.5,52.5,12,8.0,1.3,low,high,93.5
5.9,95.1,67.0,9,6.7,1.8,high,low,100.0
5.5,81.8,66.3,5,8.4,1.3,high,medium,91.1
4.3,96.7,76.3,8,7.2,3.9,low,high,100.0
9.1,84.8,69.9,9,10.0,3.2,medium,medium,100.0
5.6,79.7,61.8,7,6.4,4.3,medium,medium,74.8
4.9,84.6,88.7,10,7.5,1.8,medium,high,100.0
5.1,67.0,61.9,8,6.0,1.1,low,medium,80.0
7.3,87.0,65.6,7,8.4,2.3,low,low,95.4
6.9,86.6,46.1,5,7.6,2.7,low,high,88.6
7.0,94.6,59.3,7,6.0,3.3,high,low,97.1
7.1,72.9,77.7,9,6.7,0.5,medium,high,100.0
11.4,97.3,74.8,3,8.8,3.7,medium,low,100.0
5.0,94.6,79.0,6,8.6,1.7,high,low,90.4
4.7,98.0,78.3,3,5.4,2.0,low,medium,93.1
4.0,87.6,100.0,6,6.6,4.8,low,high,94.4
7.5,96.1,58.8,11,9.3,0.0,low,low,100.0
8.8,76.2,45.7,5,6.9,3.5,medium,medium,78.6
5.7,93.7,54.2,10,7.3,3.5,medium,medium,91.7
3.9,81.8,59.4,12,8.4,1.8,low,low,89.3
3.9,74.8,55.4,12,5.5,2.3,low,low,74.0
7.6,79.0,71.4,8,6.0,4.8,medium,high,89.8
7.9,88.0,88.8,10,6.7,5.9,medium,medium,100.0
7.4,81.4,93.1,5,8.6,4.6,low,medium,89.5
4.3,91.0,77.6,4,8.3,5.8,medium,low,100.0
6.6,73.5,100.0,8,8.0,2.0,low,low,100.0
6.3,71.0,64.7,9,7.0,0.6,low,medium,83.7
6.5,99.0,45.5,11,8.5,2.9,low,medium,98.7
8.2,95.2,85.8,7,6.9,4.2,medium,high,93.7
6.6,79.6,42.4,8,7.8,0.2,medium,low,81.0
7.7,88.0,58.7,8,8.2,1.6,medium,medium,95.9
